SubjectId,Name,ParentId,Level
214,Rounding to Decimal Places,141,3
215,Rounding to Significant Figures,141,3
216,Estimation,141,3
217,Basic Calculator Use,35,3
218,Advanced Calculator Use,35,3
219,Factors and Highest Common Factor,37,3
220,Multiples and Lowest Common Multiple,37,3
221,Prime Numbers and Prime Factors,37,3
222,Ordering Decimals,36,3
223,Adding and Subtracting with Decimals,36,3
224,Multiplying and Dividing with Decimals,36,3
225,Fractions of an Amount,39,3
226,Equivalent Fractions,39,3
227,Simplifying Fractions,39,3
228,Ordering Fractions,39,3
229,Converting Mixed Number and Improper Fractions,39,3
230,Adding and Subtracting Fractions,39,3
231,Multiplying Fractions,39,3
232,Dividing Fractions,39,3
233,Percentages of an Amount,44,3
234,Percentage Increase and Decrease,44,3
235,Reverse Percentages (Original Amount),44,3
236,Repeated Percentages and Compound Interest,44,3
237,Converting between Fractions and Decimals,38,3
238,Converting between Fractions and Percentages,38,3
239,Converting between Decimals and Percentages,38,3
240,Simplifying and Equivalent Ratios,46,3
241,Sharing in a Ratio,46,3
242,Find Missing Quantities,46,3
243,Direct Proportion,45,3
244,Indirect (Inverse) Proportion,45,3
245,"Squares, Cubes, etc",40,3
246,"Square Roots, Cube Roots, etc",40,3
247,Laws of Indices,40,3
248,Simplifying Surds,48,3
249,Operations with Surds,48,3
250,Rationalising the Denominator,48,3
251,Simplifying Expressions by Collecting Like Terms,62,3
252,Multiplying Terms,62,3
253,Dividing Terms,62,3
254,Difference of Two Squares,153,3
255,Algebraic Fractions,49,2
256,Completing the Square,153,3
257,Plotting Lines from Tables of Values,54,3
258,Horizontal and Vertical Lines,54,3
259,Finding the Equation of a Line,54,3
260,Finding the Gradient and Intercept of a Line from the Equation,54,3
261,Gradient as change in y over change in x,54,3
262,Parallel Lines,54,3
263,Perpendicular Lines,54,3
264,Graphical Solution of Simultaneous Equations,54,3
265,Plotting Quadratics from Tables of Values,55,3
266,Sketching from Factorised Form,55,3
267,Sketching from Completing the Square Form,55,3
268,Graphical Solution of Quadratic Equations,55,3
269,"Speed, Distance, Time",79,3
270,Density,79,3
271,Pythagoras,71,2
272,Similarity and Congruency,71,2
273,"Length, Area and Volume Scale Factors",272,3
274,Congruency in Other Shapes,272,3
275,Line Symmetry,91,3
276,Rotational Symmetry,91,3
277,3D Plane Symmetry,91,3
278,Transformations,71,2
279,Right-angled Triangles (SOHCAHTOA),97,3
280,Non Right-angled Triangles (Sine and Cosine Rules),97,3
281,Area of Non Right-angled Triangles,97,3
282,Exact Values of Trigonometric Ratios,97,3
283,Add and Subtract Vectors,99,3
284,Vector Geometry,99,3
298,Kinematics,149,2
313,Advanced Measures of Variation,151,2
315,Permutations and Combinations,151,2
317,Regression,151,2
331,Money,32,2
332,Currency Conversions,331,3
334,Writing Ratios,46,3
335,Expanding Triple Brackets and more,152,3
336,Tally Charts,113,3
337,Types of Data and Questionnaires,113,3
338,Data Processing,101,2
339,Range and Interquartile Range from a List of Data,338,3
340,Averages and Range from Frequency Table,338,3
341,Interpreting and Comparing Data using Averages and Range,338,3
342,Data Representation,101,2
343,Frequency Diagram and Frequency Polygon,342,3
344,Venn Diagrams,342,3
348,Probability,101,2
349,Combined Events,348,3
350,Tree Diagrams with Independent Events,348,3
351,Using the Probability Addition Formula,348,3
352,Using the Conditional Probability Formula,348,3
353,Probability with Venn Diagrams,348,3
354,Algebraic Division,142,3
355,Remainder Theorem,142,3
361,Arithmetic Sequences,137,3
365,Recurrence Relations,137,3
366,Sigma Notation,137,3
367,Summing Series,137,3
369,Basic dy/dx,126,3
370,Differentiation from First Principals,126,3
371,Finding the Gradient,126,3
372,Finding Maximums and Minimums,126,3
374,Increasing and Decreasing Functions,126,3
375,Equations of Tangents,126,3
376,Equations of Normals,126,3
377,Second Order Derivative,126,3
388,Basic Indefinite Integration,129,3
406,Naming Co-ordinates in 2D,81,3
407,Naming Co-ordinates in 3D,81,3
408,Midpoint Between Two Co-ordinates,81,3
409,Gradient Between Two Co-ordinates,81,3
410,Distance Between Two Co-ordinates,81,3
411,Radians,119,2
412,Converting Between Degrees and Radians,411,3
416,Solving Basic Trigonometric Equations,139,3
417,Basic Trigonometric Identities,139,3
418,Reciprocal Trigonometric Identities,139,3
430,Laws of Logarithms,128,3
431,Solving Equations with Exps and Logs,128,3
432,Graphs of Exp and Log Functions,128,3
434,Function Notation,146,3
435,Domain and Range,146,3
436,Inverse Functions,146,3
437,Composite Functions,146,3
439,Angles in Triangles,74,3
441,Addition and Subtraction of Vectors,140,3
442,Position Vectors and Geometrical Applications,140,3
446,Addition and Subtraction of Matrices,130,3
447,Multiplication of Matrices,130,3
448,Transformations of Matrices,130,3
451,Roots of Polynomials,119,2
453,Cubic Equations,451,3
462,"Co-ordinate Geometry Problems (tangents, normals)",126,3
474,Standard Deviation and Variance from Discrete Data,313,3
480,Factorial Notation,315,3
487,Regression Equation,317,3
539,Velocity-Time Graphs,298,3
540,Displacement-Time Graphs,298,3
649,Function Machines,154,3
654,Relating Quadratic Graphs to the Discriminant,55,3
655,Missing Lengths,178,3
656,Co-ordinate Geometry with Straight Lines,54,3
657,Isometric Drawings,176,3
692,Physics,1642,1
698,Forces and Motion,692,2
700,Speed and Distance-Time graphs,698,3
1059,Best Value,46,3
1076,Solving Trigonometric Equations,154,3
1077,Simplifying Algebraic Fractions,255,3
1078,Adding and Subtracting Algebraic Fractions,255,3
1079,Multiplying and Dividing Algebraic Fractions,255,3
1080,Solving Equations with Algebraic Fractions,255,3
1081,Algebraic Proof,62,3
1082,Recurring Decimals to Fractions,38,3
1156,Maths-Others,3,1
1157,Number-Others,32,2
1158,Calculator Use-Others,35,3
1159,Decimals-Others,36,3
1160,"Factors, Multiples and Primes-Others",37,3
1161,"Fractions, Decimals and Percentage Equivalence-Others",38,3
1162,Fractions-Others,39,3
1163,"Indices, Powers and Roots-Others",40,3
1164,Negative Numbers-Others,42,3
1165,Percentages-Others,44,3
1166,Proportion-Others,45,3
1167,Ratio-Others,46,3
1168,Surds-Others,48,3
1169,Algebra-Others,49,2
1170,Straight Line Graphs-Others,54,3
1171,Quadratic Graphs-Others,55,3
1172,Inequalities-Others,59,3
1173,Sequences-Others,61,3
1174,Writing and Simplifying Expressions-Others,62,3
1175,Transformation of Functions-Others,68,3
1176,Geometry and Measure-Others,71,2
1177,Angles-Others,74,3
1178,Circles-Others,77,3
1179,Compound Measures-Others,79,3
1180,Co-ordinates-Others,81,3
1181,"Construction, Loci and Scale Drawing-Others",83,3
1182,Symmetry-Others,91,3
1183,Basic Trigonometry-Others,97,3
1184,Units of Measurement-Others,98,3
1185,Basic Vectors-Others,99,3
1186,Volume and Surface Area-Others,100,3
1187,Data and Statistics-Others,101,2
1188,Data Collection-Others,113,3
1189,Advanced Pure-Others,119,2
1200,Advanced Vectors-Others,140,3
1201,Rounding and Estimating-Others,141,3
1202,Advanced Algebra-Others,142,3
1203,Basic Arithmetic-Others,144,3
1204,Functions-Others,146,3
1207,Advanced Statistics-Others,151,2
1208,Expanding Brackets-Others,152,3
1209,Factorising-Others,153,3
1210,Solving Equations-Others,154,3
1211,Formula-Others,156,3
1212,Other Graphs-Others,158,3
1213,2D Names and Properties of Shapes-Others,174,3
1214,3D Shapes-Others,176,3
1215,Perimeter and Area-Others,178,3
1216,Algebraic Fractions-Others,255,3
1217,Pythagoras-Others,271,3
1218,Similarity and Congruency-Others,272,3
1219,Transformations-Others,278,3
1263,Money-Others,331,3
1264,Data Processing-Others,338,3
1265,Data Representation-Others,342,3
1266,Probability-Others,348,3
1636,Systematic Listing Strategies,144,3
1642,Science,NULL,0
1647,Scale Drawing and Maps,46,3
1648,Surface Area of Non-Prisms,100,3
1649,Volume of Non-Prisms,100,3
1650,Frequency Trees,342,3
1651,3D Trigonometry,97,3
1675,Limiting Values of Sequences,137,3
1676,Roman Numerals,144,3
1750,Pressure,79,3
1975,Combining Operations,144,3
1976,Frequency tables,113,3
1977,Mixed operation Negative Numbers,42,3
1980,Types of number,32,2
1982,Mixed operation Fractions,39,3
1983,Drawing Axes,54,3
1985,Reading Scales,98,3
1987,Sorting Shapes,174,3
1988,Labelling Shapes,174,3
