UserId,Gender,DateOfBirth,PremiumPupil
4731,2,2008-08-01 00:00:00.000,0.0
1083,1,,
2360,2,,
3670,1,2007-12-01 00:00:00.000,1.0
5700,1,2008-01-01 00:00:00.000,0.0
3784,1,2008-08-01 00:00:00.000,1.0
3056,1,2008-06-01 00:00:00.000,1.0
211,2,2008-02-01 00:00:00.000,0.0
1005,0,,
1396,0,,
3679,2,2007-12-01 00:00:00.000,0.0
3104,0,,
201,1,2008-02-01 00:00:00.000,
5443,1,2008-04-01 00:00:00.000,0.0
3229,0,,
5910,1,2007-11-01 00:00:00.000,1.0
2413,0,,
5693,2,2008-05-01 00:00:00.000,
4465,0,,
569,2,,
1876,2,2007-09-01 00:00:00.000,0.0
4186,0,,
1658,1,2007-12-01 00:00:00.000,0.0
1177,2,2007-10-01 00:00:00.000,0.0
6015,2,2020-04-01 00:00:00.000,
1280,2,2008-07-01 00:00:00.000,0.0
422,1,2008-01-01 00:00:00.000,0.0
3832,1,2008-05-01 00:00:00.000,1.0
5393,1,2008-06-01 00:00:00.000,1.0
5018,0,,
974,1,,
1133,2,2008-06-01 00:00:00.000,0.0
3427,1,2008-01-01 00:00:00.000,0.0
3739,2,,
4892,0,,
5061,1,,
5876,1,,
5235,0,,
2233,2,2008-08-01 00:00:00.000,0.0
1469,1,2007-09-01 00:00:00.000,1.0
2950,0,,
815,0,,
4638,1,,
1733,2,2008-08-01 00:00:00.000,0.0
2959,0,,
1201,1,2008-03-01 00:00:00.000,0.0
1077,0,,
3816,0,,
3621,0,,
4316,0,,
5040,0,,
483,2,,
4586,1,2008-01-01 00:00:00.000,0.0
3921,1,,
2020,0,,
6048,0,,
47,1,2008-04-01 00:00:00.000,0.0
5231,2,2008-06-01 00:00:00.000,0.0
1663,0,,
5253,2,2008-07-01 00:00:00.000,1.0
987,1,2007-12-01 00:00:00.000,1.0
2016,2,,
1792,1,2008-08-01 00:00:00.000,0.0
1373,1,2008-06-01 00:00:00.000,0.0
3512,0,,
4420,1,,
3307,0,,
2215,2,,
3717,1,2008-05-01 00:00:00.000,0.0
94,1,2008-01-01 00:00:00.000,0.0
4577,0,,
5977,0,,
1071,2,2008-01-01 00:00:00.000,
4650,0,,
3931,0,,
1821,0,,
2482,1,2007-12-01 00:00:00.000,1.0
5962,0,,
2368,2,,
3506,0,,
401,1,2007-09-01 00:00:00.000,0.0
3402,2,2007-10-01 00:00:00.000,
2438,1,2006-07-01 00:00:00.000,
4721,1,2007-10-01 00:00:00.000,1.0
5591,2,2007-09-01 00:00:00.000,0.0
2887,1,2007-12-01 00:00:00.000,0.0
5285,2,2008-01-01 00:00:00.000,0.0
3139,0,,
4197,0,,
1326,0,,
199,0,,
2113,0,,
5669,0,,
380,1,,
5288,2,2007-11-01 00:00:00.000,0.0
341,0,,
4450,2,,
5373,0,,
2144,0,,
1877,2,2008-05-01 00:00:00.000,0.0
4739,0,,
2664,0,,
6049,1,2007-10-01 00:00:00.000,0.0
4091,0,,
4043,0,,
1078,0,,
1249,2,,
3383,0,,
865,1,2008-08-01 00:00:00.000,0.0
4099,2,2007-12-01 00:00:00.000,0.0
5298,1,2008-03-01 00:00:00.000,0.0
5778,0,,
6108,0,,
4847,2,2008-04-01 00:00:00.000,0.0
4360,2,,
4825,0,,
3395,1,2008-08-01 00:00:00.000,0.0
4424,0,,
5123,0,,
1806,1,2007-11-01 00:00:00.000,1.0
766,1,2008-06-01 00:00:00.000,1.0
5250,1,2007-12-01 00:00:00.000,1.0
242,2,2008-02-01 00:00:00.000,0.0
1145,2,,
2790,2,2008-01-01 00:00:00.000,0.0
5184,2,2008-02-01 00:00:00.000,0.0
874,0,,
5023,0,,
5548,1,,
160,1,2008-08-01 00:00:00.000,0.0
3058,0,,
2343,0,,
3037,0,,
1648,2,2008-08-01 00:00:00.000,0.0
2793,1,2008-03-01 00:00:00.000,1.0
863,2,,
3073,1,,
1881,0,,
1196,1,,
3075,1,,
3777,0,,
2665,2,2007-09-01 00:00:00.000,0.0
60,0,,
5004,0,,
4678,1,2008-04-01 00:00:00.000,0.0
2576,2,2008-03-01 00:00:00.000,0.0
4753,2,,
5899,0,,
1527,0,,
2600,0,,
4625,0,,
2841,2,2007-10-01 00:00:00.000,0.0
5104,1,2008-04-01 00:00:00.000,0.0
1394,1,2008-05-01 00:00:00.000,0.0
1397,2,2008-08-01 00:00:00.000,1.0
2780,1,2008-01-01 00:00:00.000,0.0
2830,0,,
4912,2,2007-12-01 00:00:00.000,1.0
823,2,2007-09-01 00:00:00.000,0.0
5683,2,2008-03-01 00:00:00.000,0.0
3969,0,,
5088,0,,
4888,0,,
2714,1,,
363,1,2008-06-01 00:00:00.000,0.0
244,2,2007-09-01 00:00:00.000,0.0
499,0,,
5771,2,,
2083,1,2007-12-01 00:00:00.000,0.0
5395,1,2007-11-01 00:00:00.000,0.0
741,2,2007-10-01 00:00:00.000,0.0
5406,0,,
2419,2,2008-05-01 00:00:00.000,1.0
5653,0,2007-12-01 00:00:00.000,
5111,2,2008-04-01 00:00:00.000,0.0
1367,1,,
4854,0,,
5937,2,,
3991,0,,
628,1,,
2773,1,2008-08-01 00:00:00.000,0.0
1380,2,2007-12-01 00:00:00.000,0.0
1691,0,,
5646,0,,
5240,0,,
764,0,,
4154,2,2008-08-01 00:00:00.000,0.0
3314,2,2008-07-01 00:00:00.000,0.0
4356,1,2008-01-01 00:00:00.000,1.0
4688,0,,
5529,2,2008-03-01 00:00:00.000,0.0
5070,0,,
1013,2,2008-02-01 00:00:00.000,0.0
600,0,,
4529,0,,
3932,1,2007-12-01 00:00:00.000,
5619,2,2007-10-01 00:00:00.000,0.0
4468,1,2008-08-01 00:00:00.000,
3363,0,,
4663,2,2007-12-01 00:00:00.000,0.0
455,0,,
684,1,,
4693,0,,
2913,1,2008-08-01 00:00:00.000,
2153,1,2008-06-01 00:00:00.000,0.0
4119,0,,
3793,1,2008-08-01 00:00:00.000,
3387,1,,
3142,0,,
583,1,2007-10-01 00:00:00.000,1.0
5883,1,2006-09-01 00:00:00.000,0.0
1254,2,2008-05-01 00:00:00.000,0.0
3103,1,2008-07-01 00:00:00.000,0.0
1643,0,,
3273,2,2008-04-01 00:00:00.000,1.0
1871,1,2008-03-01 00:00:00.000,0.0
4179,1,2007-12-01 00:00:00.000,1.0
2557,1,,
3119,2,2008-04-01 00:00:00.000,0.0
1306,1,2008-01-01 00:00:00.000,0.0
4069,0,,
4230,0,,
2532,1,,
142,2,2008-05-01 00:00:00.000,0.0
4002,1,2008-07-01 00:00:00.000,0.0
2698,0,,
1794,0,,
399,0,,
6083,0,,
2558,0,,
2737,2,,
4231,0,,
5514,0,,
3757,0,,
1855,0,,
2915,0,,
1420,2,2008-01-01 00:00:00.000,0.0
5486,0,,
3710,0,,
2303,2,2008-05-01 00:00:00.000,0.0
109,0,,
2624,2,2007-09-01 00:00:00.000,1.0
5624,2,2008-02-01 00:00:00.000,1.0
4860,1,2008-03-01 00:00:00.000,0.0
4032,0,,
515,1,2008-06-01 00:00:00.000,0.0
351,1,2008-03-01 00:00:00.000,0.0
3505,2,2007-09-01 00:00:00.000,0.0
4344,0,,
1139,2,2008-07-01 00:00:00.000,0.0
682,0,,
4827,1,2007-09-01 00:00:00.000,0.0
1735,0,,
1674,1,2007-09-01 00:00:00.000,1.0
714,2,2007-09-01 00:00:00.000,0.0
1158,0,,
2238,2,,
5286,0,,
1864,0,,
4996,0,,
5685,0,,
3504,2,2007-04-01 00:00:00.000,
945,0,,
1127,0,,
5764,2,,
3249,0,,
5706,0,,
1630,0,,
3604,2,2007-12-01 00:00:00.000,0.0
4671,2,2008-04-01 00:00:00.000,0.0
3242,0,,
1655,0,,
5966,0,,
3267,1,2007-10-01 00:00:00.000,0.0
2524,1,2008-07-01 00:00:00.000,0.0
1767,0,,
665,1,2008-03-01 00:00:00.000,0.0
1323,1,,
573,1,,
2362,2,,
5303,0,,
1849,0,,
638,0,,
1953,0,,
4640,1,2008-02-01 00:00:00.000,0.0
5888,0,,
1047,1,2007-12-01 00:00:00.000,0.0
3564,1,2007-12-01 00:00:00.000,1.0
3203,0,,
2929,2,2008-08-01 00:00:00.000,1.0
3049,0,,
4852,1,,
929,0,,
3514,0,,
5919,2,2007-10-01 00:00:00.000,0.0
2453,1,2007-12-01 00:00:00.000,0.0
4937,2,,
127,0,,
4444,0,,
3983,0,,
4714,1,2007-11-01 00:00:00.000,1.0
2754,1,,
2812,0,,
4915,0,,
5507,2,2007-11-01 00:00:00.000,1.0
3072,0,,
5971,2,2008-01-01 00:00:00.000,0.0
4265,0,,
2892,2,,
105,2,,
5302,2,2008-05-01 00:00:00.000,0.0
1882,2,,
872,1,2007-12-01 00:00:00.000,0.0
2213,2,,
4934,0,,
762,0,,
3469,2,2007-12-01 00:00:00.000,0.0
2099,1,2008-02-01 00:00:00.000,0.0
5073,2,,
3374,1,2008-08-01 00:00:00.000,0.0
6,0,,
6093,2,2008-03-01 00:00:00.000,0.0
2879,2,2007-10-01 00:00:00.000,1.0
1028,0,,
932,0,,
1657,0,,
1105,2,,
5908,1,2008-06-01 00:00:00.000,1.0
2255,0,,
2484,1,2008-08-01 00:00:00.000,0.0
5812,3,,
4710,1,2007-10-01 00:00:00.000,1.0
3880,1,2008-04-01 00:00:00.000,1.0
4112,1,2008-02-01 00:00:00.000,1.0
6004,2,2007-12-01 00:00:00.000,1.0
469,2,2008-06-01 00:00:00.000,0.0
756,0,,
3347,0,,
5020,1,2008-02-01 00:00:00.000,
5347,2,2008-07-01 00:00:00.000,1.0
1786,2,2008-08-01 00:00:00.000,0.0
1305,0,,
2569,1,,
334,1,2008-08-01 00:00:00.000,0.0
3987,0,,
5174,2,2008-07-01 00:00:00.000,0.0
250,0,,
5422,0,,
3734,1,,
3812,1,2007-10-01 00:00:00.000,0.0
3250,2,2008-05-01 00:00:00.000,0.0
1166,0,,
5532,0,,
1383,1,2008-03-01 00:00:00.000,1.0
151,0,,
237,2,2008-02-01 00:00:00.000,0.0
1128,1,,
4524,1,2008-05-01 00:00:00.000,0.0
1538,0,,
2052,2,2008-07-01 00:00:00.000,0.0
2862,2,2008-05-01 00:00:00.000,1.0
3649,0,,
5425,2,2008-02-01 00:00:00.000,0.0
4216,2,2008-05-01 00:00:00.000,0.0
5190,2,2007-10-01 00:00:00.000,0.0
230,0,,
5742,2,2007-09-01 00:00:00.000,1.0
6110,2,2007-12-01 00:00:00.000,0.0
1916,0,,
5988,0,,
3218,2,2008-03-01 00:00:00.000,1.0
3881,0,,
4055,2,2007-12-01 00:00:00.000,0.0
5217,1,,
3819,1,,
1756,1,2008-07-01 00:00:00.000,0.0
1790,1,2007-09-01 00:00:00.000,0.0
5209,0,,
5848,0,,
1748,0,,
3391,2,2008-01-01 00:00:00.000,0.0
5164,1,2008-08-01 00:00:00.000,0.0
4977,1,2008-05-01 00:00:00.000,1.0
5488,2,2008-04-01 00:00:00.000,0.0
2809,2,2008-07-01 00:00:00.000,1.0
3779,2,2008-04-01 00:00:00.000,0.0
5880,0,,
5423,2,2007-07-01 00:00:00.000,
1607,1,2008-08-01 00:00:00.000,0.0
2883,1,2008-01-01 00:00:00.000,0.0
5294,1,2008-05-01 00:00:00.000,1.0
5562,2,2008-04-01 00:00:00.000,1.0
1853,2,,
1203,2,,
3930,0,,
131,2,2008-06-01 00:00:00.000,0.0
2620,2,2007-10-01 00:00:00.000,0.0
2989,1,,
4479,1,2008-05-01 00:00:00.000,1.0
5555,0,,
5387,3,,
5096,2,2007-09-01 00:00:00.000,1.0
5179,0,,
5267,1,,
2803,1,2008-08-01 00:00:00.000,0.0
5115,2,2008-04-01 00:00:00.000,1.0
653,2,2008-08-01 00:00:00.000,0.0
2765,2,,
5330,2,2008-01-01 00:00:00.000,1.0
2536,1,2008-02-01 00:00:00.000,0.0
6103,2,,
145,1,2008-06-01 00:00:00.000,0.0
2108,1,2008-03-01 00:00:00.000,1.0
1195,1,2008-06-01 00:00:00.000,0.0
2967,1,2008-02-01 00:00:00.000,1.0
3106,2,2008-03-01 00:00:00.000,0.0
2844,0,,
5007,0,,
4088,1,,
2053,2,,
1407,0,,
2489,0,,
2121,0,,
5564,0,,
2149,2,2008-01-01 00:00:00.000,1.0
3879,2,2008-03-01 00:00:00.000,0.0
4140,0,,
2290,1,2007-09-01 00:00:00.000,0.0
1240,0,,
5032,1,2007-10-01 00:00:00.000,0.0
3361,1,2008-06-01 00:00:00.000,1.0
2183,0,,
4985,2,2008-01-01 00:00:00.000,0.0
61,1,2008-04-01 00:00:00.000,0.0
659,1,2007-11-01 00:00:00.000,0.0
1922,1,2008-01-01 00:00:00.000,0.0
3426,2,2008-03-01 00:00:00.000,1.0
3952,0,,
1221,0,,
1727,0,,
1009,0,,
4530,2,2007-05-01 00:00:00.000,1.0
2741,0,,
1100,1,2008-08-01 00:00:00.000,0.0
1609,0,,
3890,2,2008-02-01 00:00:00.000,1.0
32,0,,
4142,2,2007-12-01 00:00:00.000,0.0
4346,0,,
3975,2,2008-07-01 00:00:00.000,0.0
5717,1,2008-03-01 00:00:00.000,1.0
3786,2,2007-12-01 00:00:00.000,0.0
263,0,,
2733,2,2008-04-01 00:00:00.000,0.0
3892,2,2007-10-01 00:00:00.000,1.0
122,0,,
2815,2,,
1148,1,,
1302,2,2008-03-01 00:00:00.000,1.0
1208,0,,
2182,0,,
4944,0,,
3548,0,,
5397,0,,
3805,0,,
5384,1,2008-06-01 00:00:00.000,1.0
5475,0,,
5256,0,,
5611,0,,
630,2,2008-03-01 00:00:00.000,0.0
2355,0,,
4584,1,,
1898,1,2008-01-01 00:00:00.000,0.0
1798,0,,
3785,1,,
4008,0,,
5734,0,,
1433,1,2007-12-01 00:00:00.000,1.0
678,0,,
4959,1,2008-08-01 00:00:00.000,1.0
266,1,2007-09-01 00:00:00.000,0.0
3154,0,,
760,1,,
1770,0,,
3262,1,2007-09-01 00:00:00.000,0.0
4612,1,2007-10-01 00:00:00.000,1.0
2008,0,,
5153,0,,
4121,0,,
1217,2,2007-12-01 00:00:00.000,0.0
2651,2,2008-04-01 00:00:00.000,1.0
1577,1,,
1234,0,,
4505,1,2008-07-01 00:00:00.000,0.0
1764,2,2008-05-01 00:00:00.000,0.0
3240,0,,
5434,1,2008-08-01 00:00:00.000,1.0
4751,1,2007-12-01 00:00:00.000,0.0
1464,2,2008-01-01 00:00:00.000,0.0
2613,1,2008-02-01 00:00:00.000,0.0
4539,0,,
225,1,2007-11-01 00:00:00.000,0.0
5945,2,,
5381,0,,
949,1,2008-02-01 00:00:00.000,0.0
785,0,,
1200,1,,
2776,2,2008-01-01 00:00:00.000,0.0
1452,1,2008-04-01 00:00:00.000,0.0
2870,2,2008-04-01 00:00:00.000,1.0
286,0,,
2286,0,,
5314,2,2008-07-01 00:00:00.000,1.0
4829,0,,
831,0,,
921,0,,
4599,1,,
2818,2,2008-05-01 00:00:00.000,1.0
5320,0,,
2676,2,2008-03-01 00:00:00.000,0.0
1514,1,2008-05-01 00:00:00.000,0.0
5766,1,2008-04-01 00:00:00.000,0.0
490,0,,
3354,0,,
3365,2,,
5791,1,,
5751,2,,
5687,1,,
3993,0,,
2443,0,,
1120,2,2007-11-01 00:00:00.000,0.0
5062,2,2008-03-01 00:00:00.000,
217,0,,
2474,1,,
2093,1,,
728,2,2007-10-01 00:00:00.000,0.0
4875,2,2008-07-01 00:00:00.000,0.0
821,1,2008-07-01 00:00:00.000,0.0
2728,0,,
2592,2,2008-07-01 00:00:00.000,0.0
5515,1,2008-01-01 00:00:00.000,1.0
4507,0,,
9,1,2008-08-01 00:00:00.000,0.0
121,2,2008-02-01 00:00:00.000,1.0
2322,2,2008-05-01 00:00:00.000,0.0
839,0,,
1596,2,,
3976,0,,
2485,1,,
4749,1,2008-11-01 00:00:00.000,
4587,2,,
5484,1,2008-03-01 00:00:00.000,0.0
295,2,2008-07-01 00:00:00.000,1.0
3352,0,,
562,0,,
5093,0,,
3792,0,,
578,2,2008-05-01 00:00:00.000,0.0
2579,0,,
2771,0,,
3691,1,2008-03-01 00:00:00.000,0.0
3074,0,,
5003,2,2008-02-01 00:00:00.000,
4509,2,,
1010,1,2008-02-01 00:00:00.000,0.0
3136,0,,
4528,0,,
793,2,2007-09-01 00:00:00.000,1.0
3736,2,2008-01-01 00:00:00.000,0.0
4957,2,2007-11-01 00:00:00.000,1.0
3370,1,,
5828,2,,
792,0,,
5108,2,2007-09-01 00:00:00.000,0.0
2349,1,,
2142,1,,
6064,2,2007-09-01 00:00:00.000,1.0
4057,2,2007-12-01 00:00:00.000,0.0
2831,1,2008-01-01 00:00:00.000,0.0
2230,0,,
1951,1,,
1428,0,,
570,0,,
1163,0,,
5786,2,2008-08-01 00:00:00.000,0.0
3124,0,,
3509,1,2007-10-01 00:00:00.000,0.0
1111,1,2007-10-01 00:00:00.000,1.0
1237,0,,
4960,0,,
3400,2,2007-11-01 00:00:00.000,0.0
5439,1,2007-11-01 00:00:00.000,0.0
1650,2,2008-06-01 00:00:00.000,0.0
1640,0,,
3550,0,,
4115,1,2007-09-01 00:00:00.000,0.0
5100,0,,
5133,2,,
2957,1,2008-04-01 00:00:00.000,1.0
5513,2,2007-09-01 00:00:00.000,1.0
887,2,2008-08-01 00:00:00.000,0.0
4263,0,,
1379,2,2007-01-01 00:00:00.000,0.0
2586,1,2008-04-01 00:00:00.000,
2608,0,,
108,2,2007-10-01 00:00:00.000,1.0
154,0,,
5914,1,,
3167,2,2008-03-01 00:00:00.000,0.0
2137,1,2004-02-01 00:00:00.000,
376,0,,
4077,0,,
3886,2,2007-11-01 00:00:00.000,0.0
3114,0,,
224,2,2007-11-01 00:00:00.000,0.0
68,1,2007-09-01 00:00:00.000,0.0
1045,0,,
2701,2,2006-10-01 00:00:00.000,1.0
3723,1,2008-05-01 00:00:00.000,0.0
2277,2,2008-04-01 00:00:00.000,0.0
826,2,,
2518,0,,
4307,2,2008-03-01 00:00:00.000,1.0
4125,0,,
3827,0,,
368,1,2008-07-01 00:00:00.000,0.0
3117,0,,
1787,1,2008-06-01 00:00:00.000,1.0
2666,1,2007-09-01 00:00:00.000,0.0
4132,2,2008-02-01 00:00:00.000,1.0
3276,1,2008-01-01 00:00:00.000,0.0
1589,0,,
522,1,,
2949,1,2008-06-01 00:00:00.000,1.0
3095,2,2008-07-01 00:00:00.000,0.0
3721,2,2007-10-01 00:00:00.000,1.0
5188,1,2008-10-01 00:00:00.000,
2842,0,,
3806,1,,
5762,1,2008-07-01 00:00:00.000,0.0
5803,1,2007-10-01 00:00:00.000,0.0
4617,0,,
5150,1,2008-05-01 00:00:00.000,1.0
2358,0,,
3359,0,,
5049,1,,
4130,1,2007-05-01 00:00:00.000,
3872,0,,
5114,1,,
404,0,,
5634,0,,
5273,1,2007-11-01 00:00:00.000,1.0
1227,0,,
1605,1,,
4713,1,2007-09-01 00:00:00.000,0.0
3258,2,2008-05-01 00:00:00.000,0.0
2054,0,,
4816,2,2008-02-01 00:00:00.000,0.0
2704,2,2008-08-01 00:00:00.000,0.0
3994,1,2008-08-01 00:00:00.000,1.0
3064,1,2007-10-01 00:00:00.000,0.0
4953,1,2008-07-01 00:00:00.000,1.0
3557,0,,
4904,1,2008-07-01 00:00:00.000,0.0
2594,0,,
4251,0,,
5504,0,,
4574,1,2007-10-01 00:00:00.000,1.0
737,1,2008-02-01 00:00:00.000,1.0
903,1,2007-10-01 00:00:00.000,0.0
4148,0,,
3656,0,,
338,2,,
5894,0,,
238,1,,
2553,2,2008-03-01 00:00:00.000,0.0
440,1,2008-05-01 00:00:00.000,0.0
481,1,2008-06-01 00:00:00.000,0.0
967,1,,
153,2,2008-08-01 00:00:00.000,0.0
359,1,2008-05-01 00:00:00.000,0.0
1089,2,2008-06-01 00:00:00.000,1.0
4430,0,,
2263,0,,
4481,2,2007-09-01 00:00:00.000,
830,2,,
1417,1,2008-04-01 00:00:00.000,0.0
3065,1,2008-01-01 00:00:00.000,1.0
5336,1,,
5754,1,2008-07-01 00:00:00.000,0.0
1284,1,2008-07-01 00:00:00.000,0.0
501,2,2008-04-01 00:00:00.000,0.0
4377,2,2007-10-01 00:00:00.000,0.0
3237,2,2008-05-01 00:00:00.000,0.0
1918,1,2008-01-01 00:00:00.000,0.0
524,0,,
5711,1,2008-05-01 00:00:00.000,0.0
871,0,,
2377,1,,
4291,1,2008-04-01 00:00:00.000,0.0
4208,2,2007-09-01 00:00:00.000,0.0
2323,0,,
4406,0,,
1551,2,2008-01-01 00:00:00.000,1.0
4254,2,2007-01-01 00:00:00.000,1.0
2807,1,2007-10-01 00:00:00.000,1.0
6000,0,,
6009,1,2008-06-01 00:00:00.000,1.0
5086,2,2008-01-01 00:00:00.000,
282,0,,
4350,1,2007-09-01 00:00:00.000,0.0
2110,0,,
1731,1,2007-12-01 00:00:00.000,
86,0,,
2619,0,,
5383,0,,
1932,2,2008-04-01 00:00:00.000,0.0
697,2,2007-12-01 00:00:00.000,1.0
4232,2,2008-01-01 00:00:00.000,
3050,2,2008-01-01 00:00:00.000,
885,1,2008-04-01 00:00:00.000,0.0
1269,2,,
3278,1,2007-09-01 00:00:00.000,1.0
3563,1,2009-07-01 00:00:00.000,
4355,2,2008-05-01 00:00:00.000,0.0
1319,1,,
5474,1,,
2179,1,2008-08-01 00:00:00.000,0.0
4019,0,,
1763,1,,
4547,0,,
5192,2,,
3857,2,2007-09-01 00:00:00.000,0.0
5909,1,2007-09-01 00:00:00.000,0.0
5730,2,2008-04-01 00:00:00.000,1.0
5444,0,,
2094,0,,
5906,1,2008-01-01 00:00:00.000,0.0
180,1,2008-02-01 00:00:00.000,0.0
5629,1,2008-01-01 00:00:00.000,0.0
4030,0,,
3677,0,,
5546,2,2008-01-01 00:00:00.000,0.0
4327,2,2008-01-01 00:00:00.000,0.0
4188,0,,
4209,0,,
5224,1,2007-12-01 00:00:00.000,0.0
3465,0,,
674,0,,
2994,0,,
1975,0,,
3135,1,2008-03-01 00:00:00.000,1.0
5641,0,,
1489,0,,
428,1,2008-05-01 00:00:00.000,
3226,0,,
5925,0,,
877,0,,
2416,2,2007-11-01 00:00:00.000,1.0
518,0,2020-04-01 00:00:00.000,
4936,0,,
3622,0,,
3147,2,2007-11-01 00:00:00.000,0.0
2168,1,,
722,2,2008-01-01 00:00:00.000,
2706,0,,
4939,2,2008-06-01 00:00:00.000,1.0
4349,2,2008-07-01 00:00:00.000,1.0
1467,0,,
649,0,,
5855,1,2007-11-01 00:00:00.000,0.0
2320,1,,
6078,0,,
3843,0,,
3446,2,2008-07-01 00:00:00.000,0.0
6054,0,,
1275,0,,
432,2,2007-10-01 00:00:00.000,0.0
2943,1,,
3358,2,2007-10-01 00:00:00.000,0.0
1310,0,,
2927,0,,
5249,0,,
26,2,2007-10-01 00:00:00.000,0.0
4385,1,,
5216,0,,
209,0,,
3042,2,2006-11-01 00:00:00.000,
5277,1,2008-08-01 00:00:00.000,0.0
4303,0,,
2958,0,,
4910,1,,
856,0,,
2505,0,,
417,2,2008-02-01 00:00:00.000,1.0
2245,1,,
905,1,,
3623,2,2008-02-01 00:00:00.000,0.0
2832,1,2007-12-01 00:00:00.000,0.0
4531,1,,
3589,1,2008-03-01 00:00:00.000,0.0
576,2,2007-10-01 00:00:00.000,0.0
2644,0,,
2509,2,,
536,2,2007-12-01 00:00:00.000,0.0
3920,0,,
3981,2,,
3488,1,2007-10-01 00:00:00.000,0.0
4496,1,2007-11-01 00:00:00.000,0.0
601,2,2007-09-01 00:00:00.000,
1131,1,2007-12-01 00:00:00.000,0.0
2063,1,2008-07-01 00:00:00.000,0.0
3382,1,2008-04-01 00:00:00.000,0.0
582,0,,
4569,1,2008-01-01 00:00:00.000,0.0
4012,1,2008-02-01 00:00:00.000,0.0
2978,1,,
1110,1,2007-10-01 00:00:00.000,0.0
4632,0,,
2496,2,2008-01-01 00:00:00.000,1.0
2197,1,2008-06-01 00:00:00.000,1.0
5790,1,2007-12-01 00:00:00.000,
1808,0,,
1062,0,,
1,0,,
2380,2,2007-11-01 00:00:00.000,0.0
5318,1,2008-07-01 00:00:00.000,0.0
2,0,,
3972,0,,
4261,1,2008-07-01 00:00:00.000,0.0
168,0,,
723,1,2007-09-01 00:00:00.000,0.0
6058,2,2007-12-01 00:00:00.000,1.0
4278,0,,
23,0,,
3369,2,2008-08-01 00:00:00.000,1.0
554,0,,
3571,0,,
310,0,,
1522,0,,
4343,0,,
864,2,2008-02-01 00:00:00.000,1.0
727,0,,
265,1,2008-07-01 00:00:00.000,0.0
4808,1,,
5680,2,,
3419,2,2007-11-01 00:00:00.000,0.0
4435,2,2008-03-01 00:00:00.000,0.0
89,1,2008-06-01 00:00:00.000,0.0
2392,0,,0.0
3821,0,,
2104,0,,
4279,0,,
5997,1,2007-12-01 00:00:00.000,0.0
5033,2,2008-02-01 00:00:00.000,0.0
1957,0,,
672,0,,
3883,2,2008-08-01 00:00:00.000,0.0
4643,1,2008-05-01 00:00:00.000,1.0
416,1,,
1833,0,,
1294,2,2008-08-01 00:00:00.000,0.0
5505,0,,
761,1,2008-03-01 00:00:00.000,0.0
2543,0,,
2928,2,,
2591,2,2008-08-01 00:00:00.000,1.0
1698,2,2007-10-01 00:00:00.000,0.0
716,2,,
1743,0,,
3642,2,2007-09-01 00:00:00.000,0.0
5368,0,,
1501,1,2008-05-01 00:00:00.000,1.0
4849,1,,
1564,0,,
5671,2,,
1216,0,,
3873,1,2008-03-01 00:00:00.000,0.0
5520,1,,
2799,2,2007-10-01 00:00:00.000,0.0
